https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1608076800000,2020-12-16 00:00:00,BNB/USDT,29.50590000,30.61400000,29.02650000,30.55770000,2161816.84200000,64494864.37940640,231879
1607990400000,2020-12-15 00:00:00,BNB/USDT,30.03380000,30.37900000,29.30690000,29.50530000,1624791.81400000,48398355.22352070,176586
1607904000000,2020-12-14 00:00:00,BNB/USDT,29.15990000,30.18840000,28.66690000,30.03380000,2028334.08800000,59668479.18106390,200800
1607817600000,2020-12-13 00:00:00,BNB/USDT,28.16030000,29.26280000,28.00000000,29.15710000,1639495.81600000,47146012.39019600,137327
1607731200000,2020-12-12 00:00:00,BNB/USDT,27.34900000,28.23000000,27.25420000,28.16030000,1293965.51800000,36058480.58729060,112495
1607644800000,2020-12-11 00:00:00,BNB/USDT,27.69500000,27.77000000,26.72730000,27.34190000,1244803.11200000,33839924.15427740,144598
1607558400000,2020-12-10 00:00:00,BNB/USDT,28.14400000,28.29970000,27.39000000,27.69260000,1344683.62700000,37402211.10355690,118644
1607472000000,2020-12-09 00:00:00,BNB/USDT,27.67050000,28.38530000,26.92440000,28.14520000,1635344.18100000,45454697.53868960,182482
1607385600000,2020-12-08 00:00:00,BNB/USDT,29.37050000,29.49980000,27.45000000,27.67050000,1844102.05600000,52562094.30219410,217658
1607299200000,2020-12-07 00:00:00,BNB/USDT,29.49120000,29.66850000,29.06000000,29.37000000,1219543.16600000,35795857.65738330,114943
1607212800000,2020-12-06 00:00:00,BNB/USDT,29.72960000,30.18190000,29.01240000,29.50260000,1330813.89900000,39419545.06895890,133765
1607126400000,2020-12-05 00:00:00,BNB/USDT,29.03150000,30.05880000,28.65880000,29.72800000,1836870.14700000,53893876.36259830,177713
1607040000000,2020-12-04 00:00:00,BNB/USDT,30.70990000,31.13710000,28.70510000,29.02310000,2064574.44500000,61840679.76468270,216245
1606953600000,2020-12-03 00:00:00,BNB/USDT,30.27240000,30.79300000,29.85680000,30.70650000,1924462.46600000,58447530.68081090,152875
1606867200000,2020-12-02 00:00:00,BNB/USDT,30.20030000,30.99930000,29.53060000,30.28750000,2360296.30800000,71525356.85070400,191861
1606780800000,2020-12-01 00:00:00,BNB/USDT,31.49350000,31.88750000,29.17000000,30.19960000,3139022.08300000,96681205.62147270,311551
1606694400000,2020-11-30 00:00:00,BNB/USDT,30.10030000,31.59990000,29.72300000,31.49350000,2978036.22900000,91534747.05538100,242039
1606608000000,2020-11-29 00:00:00,BNB/USDT,29.15520000,30.45000000,28.85440000,30.10450000,2857702.30100000,84748920.17255580,176612
1606521600000,2020-11-28 00:00:00,BNB/USDT,28.46060000,29.61750000,27.90000000,29.17660000,2636652.59400000,76333840.08529290,199459
1606435200000,2020-11-27 00:00:00,BNB/USDT,28.23540000,28.71750000,27.20420000,28.46060000,2317359.79500000,65177587.38426980,241590
1606348800000,2020-11-26 00:00:00,BNB/USDT,31.29500000,31.77080000,26.35000000,28.23560000,6241853.01300000,179684915.43192230,579228
1606262400000,2020-11-25 00:00:00,BNB/USDT,33.94510000,35.43380000,30.43900000,31.29530000,4589237.08200000,152462923.24551840,416580
1606176000000,2020-11-24 00:00:00,BNB/USDT,30.99940000,35.14000000,30.79340000,33.94070000,7296367.36900000,240609850.82516350,572451
1606089600000,2020-11-23 00:00:00,BNB/USDT,30.02910000,31.10000000,29.78600000,30.99500000,2920522.88700000,88971207.32907050,302496
1606003200000,2020-11-22 00:00:00,BNB/USDT,30.51680000,31.12000000,29.00000000,30.02260000,2842370.78300000,85423529.80392150,299851
1605916800000,2020-11-21 00:00:00,BNB/USDT,28.97220000,30.80000000,28.29550000,30.51610000,3160335.47200000,93653968.66348360,297019
1605830400000,2020-11-20 00:00:00,BNB/USDT,28.12660000,29.35160000,28.05980000,28.97150000,2491336.07900000,71408453.45875460,213320
1605744000000,2020-11-19 00:00:00,BNB/USDT,28.10490000,28.36660000,27.61830000,28.13870000,2011350.33700000,56444452.22790350,162787
1605657600000,2020-11-18 00:00:00,BNB/USDT,28.55520000,28.83800000,27.50000000,28.09310000,2220839.93100000,62538448.46860020,247361
1605571200000,2020-11-17 00:00:00,BNB/USDT,27.95880000,28.80000000,27.92620000,28.55520000,2243647.20500000,63861426.39007470,207380
1605484800000,2020-11-16 00:00:00,BNB/USDT,27.68220000,28.22020000,27.44610000,27.94510000,1685368.83500000,46962028.74538760,172529
1605398400000,2020-11-15 00:00:00,BNB/USDT,27.93590000,28.23320000,27.07000000,27.67860000,1442022.54800000,40116215.60901730,146356
