https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1603756800000,2020-10-27 00:00:00,EOS/USDT,2.62950000,2.69650000,2.62680000,2.67390000,5532423.77000000,14700641.48821500,34510
1603670400000,2020-10-26 00:00:00,EOS/USDT,2.70720000,2.74960000,2.59180000,2.62910000,10409838.33000000,27892985.43372000,62176
1603584000000,2020-10-25 00:00:00,EOS/USDT,2.65940000,2.73800000,2.61810000,2.70740000,6792693.84000000,18119000.49067300,40176
1603497600000,2020-10-24 00:00:00,EOS/USDT,2.63930000,2.67000000,2.61400000,2.65970000,3906214.81000000,10334424.24932900,24221
1603411200000,2020-10-23 00:00:00,EOS/USDT,2.66940000,2.68420000,2.59920000,2.63950000,6959185.76000000,18457996.64030300,43831
1603324800000,2020-10-22 00:00:00,EOS/USDT,2.60540000,2.70450000,2.60350000,2.66930000,9918977.68000000,26411929.91731100,59490
1603238400000,2020-10-21 00:00:00,EOS/USDT,2.52630000,2.65500000,2.52150000,2.60550000,11791033.47000000,30629577.95308500,61624
1603152000000,2020-10-20 00:00:00,EOS/USDT,2.58140000,2.58560000,2.50070000,2.52640000,7665418.38000000,19501064.56401100,45393
1603065600000,2020-10-19 00:00:00,EOS/USDT,2.54550000,2.61100000,2.52370000,2.58190000,6620719.33000000,16972535.12679900,40802
1602979200000,2020-10-18 00:00:00,EOS/USDT,2.52170000,2.55690000,2.51770000,2.54590000,3171318.89000000,8040665.07555500,18369
1602892800000,2020-10-17 00:00:00,EOS/USDT,2.53780000,2.54890000,2.50360000,2.52170000,4641493.94000000,11731107.17756500,33659
1602806400000,2020-10-16 00:00:00,EOS/USDT,2.59810000,2.61080000,2.49110000,2.53620000,9757793.36000000,24790856.81042000,59543
1602720000000,2020-10-15 00:00:00,EOS/USDT,2.60680000,2.62800000,2.58240000,2.59850000,6105948.61000000,15896176.44266900,38711
1602633600000,2020-10-14 00:00:00,EOS/USDT,2.63830000,2.65160000,2.58040000,2.60650000,6416013.09000000,16803515.59176000,41258
1602547200000,2020-10-13 00:00:00,EOS/USDT,2.64280000,2.66550000,2.61040000,2.63830000,7832610.70000000,20675135.05766700,47012
1602460800000,2020-10-12 00:00:00,EOS/USDT,2.65740000,2.68240000,2.60750000,2.64280000,11318415.21000000,30009349.08013100,60004
1602374400000,2020-10-11 00:00:00,EOS/USDT,2.64140000,2.68600000,2.61500000,2.65760000,6672391.34000000,17738756.54329100,40078
1602288000000,2020-10-10 00:00:00,EOS/USDT,2.64050000,2.71880000,2.63300000,2.64150000,8199375.41000000,21958351.34069100,52757
1602201600000,2020-10-09 00:00:00,EOS/USDT,2.60650000,2.65680000,2.58050000,2.64060000,8543238.67000000,22415888.38355600,51780
1602115200000,2020-10-08 00:00:00,EOS/USDT,2.64400000,2.65390000,2.49440000,2.60660000,14694845.07000000,38131368.45101800,80329
1602028800000,2020-10-07 00:00:00,EOS/USDT,2.69590000,2.71670000,2.59220000,2.64360000,19167906.50000000,50771953.41209600,100430
