https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1602115200000,2020-10-08 00:00:00,ADA/USDT,0.09372000,0.09731000,0.08975000,0.09632000,252697885.80000000,23716055.06530300,55746
1602028800000,2020-10-07 00:00:00,ADA/USDT,0.09287000,0.09449000,0.08934000,0.09374000,156895883.20000000,14522908.74442200,37532
1601942400000,2020-10-06 00:00:00,ADA/USDT,0.09740000,0.09864000,0.09122000,0.09289000,279075645.90000000,26400263.39154500,56153
1601856000000,2020-10-05 00:00:00,ADA/USDT,0.09684000,0.09948000,0.09585000,0.09738000,181150337.10000000,17672527.88823200,43215
1601769600000,2020-10-04 00:00:00,ADA/USDT,0.09332000,0.09804000,0.09205000,0.09686000,171939943.50000000,16335467.85266600,38628
1601683200000,2020-10-03 00:00:00,ADA/USDT,0.09285000,0.09532000,0.09208000,0.09328000,157830982.10000000,14831850.14663400,35373
1601596800000,2020-10-02 00:00:00,ADA/USDT,0.09803000,0.10040000,0.08967000,0.09286000,399944267.60000000,37544476.52114800,80851
1601510400000,2020-10-01 00:00:00,ADA/USDT,0.10136000,0.10465000,0.09458000,0.09804000,336851341.10000000,33766582.47794900,75151
1601424000000,2020-09-30 00:00:00,ADA/USDT,0.10110000,0.10175000,0.09662000,0.10136000,284886992.40000000,28279936.37424100,62625
1601337600000,2020-09-29 00:00:00,ADA/USDT,0.10026000,0.10360000,0.09735000,0.10110000,324750297.30000000,32669322.29204100,70407
1601251200000,2020-09-28 00:00:00,ADA/USDT,0.10132000,0.10671000,0.09957000,0.10030000,444510434.10000000,46144619.73078400,98472
1601164800000,2020-09-27 00:00:00,ADA/USDT,0.09541000,0.10273000,0.09419000,0.10130000,425402605.40000000,42041275.23004400,92847
1601078400000,2020-09-26 00:00:00,ADA/USDT,0.09691000,0.09997000,0.09226000,0.09547000,350666632.30000000,33573722.51638400,75131
1600992000000,2020-09-25 00:00:00,ADA/USDT,0.08254000,0.09867000,0.08233000,0.09693000,761770099.40000000,70085712.71833900,150218
1600905600000,2020-09-24 00:00:00,ADA/USDT,0.07663000,0.08376000,0.07549000,0.08254000,416112902.60000000,33237062.24067000,72250
1600819200000,2020-09-23 00:00:00,ADA/USDT,0.08148000,0.08280000,0.07545000,0.07663000,288788652.50000000,22965531.09275000,51320
1600732800000,2020-09-22 00:00:00,ADA/USDT,0.07989000,0.08335000,0.07906000,0.08146000,312840807.60000000,25530961.96212800,50054
1600646400000,2020-09-21 00:00:00,ADA/USDT,0.08936000,0.09017000,0.07700000,0.07983000,492053125.10000000,40449866.62585900,91032
1600560000000,2020-09-20 00:00:00,ADA/USDT,0.09139000,0.09223000,0.08751000,0.08936000,178387120.70000000,16075687.23450600,37992
1600473600000,2020-09-19 00:00:00,ADA/USDT,0.09092000,0.09325000,0.09044000,0.09141000,146210080.50000000,13422294.32323200,30892
1600387200000,2020-09-18 00:00:00,ADA/USDT,0.09405000,0.09415000,0.08963000,0.09093000,216397448.70000000,19929205.05135200,47705
1600300800000,2020-09-17 00:00:00,ADA/USDT,0.09151000,0.09475000,0.09075000,0.09408000,233366881.90000000,21642750.88400300,54288
1600214400000,2020-09-16 00:00:00,ADA/USDT,0.09309000,0.09334000,0.08951000,0.09151000,274183427.80000000,24963807.50104900,62232
1600128000000,2020-09-15 00:00:00,ADA/USDT,0.09659000,0.09804000,0.09286000,0.09313000,228893108.70000000,21865209.11160700,53224
1600041600000,2020-09-14 00:00:00,ADA/USDT,0.09509000,0.09787000,0.09293000,0.09663000,222916155.50000000,21370868.59139800,57496
1599955200000,2020-09-13 00:00:00,ADA/USDT,0.09769000,0.09981000,0.09234000,0.09507000,241551462.90000000,23196907.16990400,63125
1599868800000,2020-09-12 00:00:00,ADA/USDT,0.09696000,0.09850000,0.09446000,0.09771000,171314687.50000000,16563999.22832200,45817
1599782400000,2020-09-11 00:00:00,ADA/USDT,0.09704000,0.09755000,0.09308000,0.09701000,221511294.00000000,21152779.65651400,53008
1599696000000,2020-09-10 00:00:00,ADA/USDT,0.09329000,0.09950000,0.09318000,0.09709000,318516552.90000000,30881801.00820500,76643
1599609600000,2020-09-09 00:00:00,ADA/USDT,0.09105000,0.09575000,0.08925000,0.09331000,239528985.20000000,22278716.60665900,56386
1599523200000,2020-09-08 00:00:00,ADA/USDT,0.09365000,0.09699000,0.08845000,0.09101000,413411592.30000000,37980714.17288700,99966
1599436800000,2020-09-07 00:00:00,ADA/USDT,0.09266000,0.09421000,0.08603000,0.09360000,382261960.20000000,34388635.79069500,89698
1599350400000,2020-09-06 00:00:00,ADA/USDT,0.08998000,0.09614000,0.08550000,0.09260000,391668905.20000000,35885202.82781900,102574
1599264000000,2020-09-05 00:00:00,ADA/USDT,0.10160000,0.10398000,0.08540000,0.09000000,648238071.40000000,60694659.79769700,126438
