https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1601683200000,2020-10-03 00:00:00,ETH/USDT,345.60000000,351.00000000,343.70000000,345.95000000,303595.71901000,105401893.35734360,136755
1601596800000,2020-10-02 00:00:00,ETH/USDT,352.83000000,354.55000000,334.24000000,345.60000000,733571.84211000,251829017.51948020,286023
1601510400000,2020-10-01 00:00:00,ETH/USDT,359.83000000,370.45000000,345.51000000,352.85000000,758349.31959000,271468849.79851160,288354
1601424000000,2020-09-30 00:00:00,ETH/USDT,359.78000000,361.50000000,351.56000000,359.83000000,498943.23226000,177784824.51781920,173910
1601337600000,2020-09-29 00:00:00,ETH/USDT,353.91000000,360.63000000,350.45000000,359.79000000,585143.16892000,208028826.48711650,214988
1601251200000,2020-09-28 00:00:00,ETH/USDT,357.58000000,368.20000000,351.70000000,353.96000000,757758.43040000,273063157.78999110,261317
1601164800000,2020-09-27 00:00:00,ETH/USDT,353.95000000,362.14000000,347.24000000,357.49000000,569568.55041000,202411362.68323290,230526
1601078400000,2020-09-26 00:00:00,ETH/USDT,351.93000000,356.40000000,345.88000000,353.92000000,530879.20755000,186812160.37543690,217834
1600992000000,2020-09-25 00:00:00,ETH/USDT,348.97000000,358.00000000,337.58000000,351.92000000,860643.77924000,298266918.80064850,310536
1600905600000,2020-09-24 00:00:00,ETH/USDT,320.72000000,353.10000000,316.67000000,348.97000000,1071705.09721000,360708689.40437970,371450
1600819200000,2020-09-23 00:00:00,ETH/USDT,344.18000000,344.65000000,313.29000000,320.72000000,940904.49756000,313808761.09043880,323226
1600732800000,2020-09-22 00:00:00,ETH/USDT,340.31000000,346.91000000,335.34000000,344.21000000,842731.12878000,288166815.51503700,286593
1600646400000,2020-09-21 00:00:00,ETH/USDT,371.04000000,376.80000000,331.00000000,340.36000000,1283946.03098000,452134893.63405810,472560
1600560000000,2020-09-20 00:00:00,ETH/USDT,385.25000000,385.45000000,365.00000000,371.04000000,693164.40144000,259700927.47821030,275295
1600473600000,2020-09-19 00:00:00,ETH/USDT,384.40000000,388.72000000,377.00000000,385.25000000,570908.33553000,218785730.14017850,230924
1600387200000,2020-09-18 00:00:00,ETH/USDT,389.35000000,392.58000000,375.33000000,384.39000000,804194.47219000,308748579.81603240,323159
1600300800000,2020-09-17 00:00:00,ETH/USDT,365.04000000,394.14000000,363.30000000,389.36000000,1256300.41100000,479026710.89661470,505247
1600214400000,2020-09-16 00:00:00,ETH/USDT,364.05000000,373.45000000,355.00000000,365.11000000,841709.98939000,306622238.07155210,371665
1600128000000,2020-09-15 00:00:00,ETH/USDT,377.12000000,382.47000000,362.34000000,364.06000000,883856.33005000,328317009.56834610,405048
1600041600000,2020-09-14 00:00:00,ETH/USDT,366.43000000,384.64000000,355.73000000,377.12000000,1042059.62265000,387238794.68097150,476828
1599955200000,2020-09-13 00:00:00,ETH/USDT,387.78000000,390.43000000,350.00000000,366.42000000,989195.69047000,367969518.51348870,430236
