https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1602806400000,2020-10-16 00:00:00,QTUM/USDT,2.23000000,2.24400000,2.10700000,2.16600000,2540179.59600000,5484737.69359100,18942
1602720000000,2020-10-15 00:00:00,QTUM/USDT,2.25400000,2.25700000,2.17600000,2.23000000,2315497.13400000,5145204.60236400,18139
1602633600000,2020-10-14 00:00:00,QTUM/USDT,2.33200000,2.36800000,2.23700000,2.25400000,2669835.52400000,6141024.22712300,20732
1602547200000,2020-10-13 00:00:00,QTUM/USDT,2.34300000,2.41100000,2.29200000,2.33000000,2693763.01100000,6340561.35277100,21077
1602460800000,2020-10-12 00:00:00,QTUM/USDT,2.35400000,2.41200000,2.28900000,2.34500000,3075840.17400000,7219085.63725100,22456
1602374400000,2020-10-11 00:00:00,QTUM/USDT,2.29800000,2.39100000,2.28600000,2.35400000,2457451.41500000,5723898.66897200,18640
1602288000000,2020-10-10 00:00:00,QTUM/USDT,2.33000000,2.39300000,2.27500000,2.30000000,3334456.38700000,7819372.31243400,24255
1602201600000,2020-10-09 00:00:00,QTUM/USDT,2.25100000,2.34800000,2.20500000,2.33000000,2676901.24200000,6123896.63749100,20456
1602115200000,2020-10-08 00:00:00,QTUM/USDT,2.19100000,2.28200000,2.11900000,2.25100000,2848590.13800000,6280538.89816900,21427
1602028800000,2020-10-07 00:00:00,QTUM/USDT,2.17200000,2.20800000,2.08000000,2.19200000,2967041.15000000,6402359.09576900,22030
1601942400000,2020-10-06 00:00:00,QTUM/USDT,2.30400000,2.31000000,2.15200000,2.17200000,3060626.02000000,6793214.84397200,22805
1601856000000,2020-10-05 00:00:00,QTUM/USDT,2.30500000,2.32600000,2.24700000,2.30200000,1522661.92700000,3473276.37441000,11556
1601769600000,2020-10-04 00:00:00,QTUM/USDT,2.29700000,2.31900000,2.24200000,2.30600000,1301964.21300000,2976547.57650800,9779
1601683200000,2020-10-03 00:00:00,QTUM/USDT,2.28700000,2.34500000,2.27000000,2.29700000,1115806.27400000,2578027.06455600,8376
1601596800000,2020-10-02 00:00:00,QTUM/USDT,2.36500000,2.39700000,2.18200000,2.28800000,2487721.16900000,5661245.10887700,19878
1601510400000,2020-10-01 00:00:00,QTUM/USDT,2.43600000,2.52700000,2.31500000,2.36500000,2823855.61000000,6879149.91051900,20042
1601424000000,2020-09-30 00:00:00,QTUM/USDT,2.43500000,2.46800000,2.36800000,2.43500000,2192838.07100000,5284347.62726800,15433
1601337600000,2020-09-29 00:00:00,QTUM/USDT,2.42400000,2.48600000,2.34400000,2.43300000,2695097.82300000,6514151.35025100,19889
1601251200000,2020-09-28 00:00:00,QTUM/USDT,2.37200000,2.58900000,2.37000000,2.42500000,3600478.71500000,8882704.30144800,26585
1601164800000,2020-09-27 00:00:00,QTUM/USDT,2.39900000,2.45200000,2.30700000,2.37000000,2299004.02400000,5464740.24053400,15906
1601078400000,2020-09-26 00:00:00,QTUM/USDT,2.36000000,2.42000000,2.32100000,2.39900000,2489662.05500000,5908893.24115700,17393
1600992000000,2020-09-25 00:00:00,QTUM/USDT,2.31900000,2.41200000,2.23000000,2.36000000,3064227.39100000,7119216.59818100,22753
1600905600000,2020-09-24 00:00:00,QTUM/USDT,2.17700000,2.34800000,2.13900000,2.31900000,3473393.21800000,7840470.10286500,23109
1600819200000,2020-09-23 00:00:00,QTUM/USDT,2.34200000,2.36900000,2.16400000,2.17600000,3572478.56800000,8163660.75731900,26323
1600732800000,2020-09-22 00:00:00,QTUM/USDT,2.26400000,2.34300000,2.17500000,2.34100000,4608695.71200000,10463227.75583800,34699
1600646400000,2020-09-21 00:00:00,QTUM/USDT,2.51900000,2.62100000,2.19500000,2.26300000,8749098.30000000,20775434.96746200,64011
1600560000000,2020-09-20 00:00:00,QTUM/USDT,2.63100000,2.65400000,2.43400000,2.52000000,3919816.66300000,10013554.61257300,27886
1600473600000,2020-09-19 00:00:00,QTUM/USDT,2.80400000,2.80400000,2.60100000,2.63100000,5764342.32500000,15387536.25387400,40233
1600387200000,2020-09-18 00:00:00,QTUM/USDT,2.56600000,2.92900000,2.51900000,2.80400000,9247965.34000000,25313392.83074100,74020
1600300800000,2020-09-17 00:00:00,QTUM/USDT,2.44900000,2.61800000,2.41200000,2.56600000,3942603.40600000,9883880.46370700,33275
1600214400000,2020-09-16 00:00:00,QTUM/USDT,2.46500000,2.59900000,2.36000000,2.44800000,4114496.19100000,10200817.72243500,35954
