Date,Price,Open,High,Low,Vol.,Change %
Feb 25 2020,1670.20,1681.60,1681.60,1650.00,3.36K,-1.59%
Feb 24 2020,1697.10,1673.30,1711.80,1673.30,9.96K,1.68%
Feb 21 2020,1669.10,1645.50,1671.20,1642.40,1.86K,1.72%
Feb 20 2020,1640.80,1634.00,1645.50,1627.70,1.31K,0.53%
Feb 19 2020,1632.20,1625.00,1634.80,1623.30,1.40K,0.50%
Feb 18 2020,1624.00,1605.00,1628.30,1603.50,1.62K,2.33%
Feb 17 2020,1587.05,1586.15,1588.45,1581.85,-,0.05%
Feb 16 2020,1586.25,1585.50,1586.25,1583.45,-,-1.29%
Feb 14 2020,1606.90,1601.00,1608.40,1597.30,1.56K,0.46%
Feb 13 2020,1599.60,1594.40,1602.00,1594.00,1.73K,0.45%
Feb 12 2020,1592.40,1590.80,1593.90,1587.50,2.05K,0.08%
Feb 11 2020,1591.10,1597.30,1597.90,1587.10,1.86K,-0.60%
Feb 10 2020,1600.70,1599.50,1601.50,1594.20,1.66K,0.36%
Feb 07 2020,1595.00,1591.00,1598.30,1588.40,0.84K,0.21%
Feb 06 2020,1591.70,1580.70,1592.40,1579.30,1.31K,0.44%
Feb 05 2020,1584.70,1579.40,1587.00,1573.00,2.05K,0.46%
Feb 04 2020,1577.50,1602.30,1602.30,1576.00,1.84K,-1.65%
Feb 03 2020,1604.00,1618.80,1619.60,1595.00,1.02K,-0.34%
Jan 31 2020,1609.40,1599.70,1615.30,1597.70,3.06K,-0.08%
Jan 30 2020,1610.70,1601.60,1612.00,1599.00,1.50K,0.80%
Jan 29 2020,1597.90,1594.50,1603.60,1589.30,4.24K,0.06%
Jan 28 2020,1596.90,1606.70,1607.10,1593.40,10.91K,-0.48%
Jan 27 2020,1604.60,1610.00,1612.80,1602.80,1.93K,0.35%
Jan 24 2020,1599.00,1589.10,1601.40,1584.00,2.62K,0.43%
Jan 23 2020,1592.10,1585.00,1593.50,1580.10,1.75K,0.54%
Jan 22 2020,1583.50,1583.10,1585.50,1577.60,1.96K,-0.08%
Jan 21 2020,1584.70,1584.00,1593.80,1573.60,2.14K,1.50%
Jan 20 2020,1561.25,1557.20,1562.70,1556.65,-,0.27%
Jan 19 2020,1557.05,1557.40,1559.05,1556.45,-,-1.90%
Jan 17 2020,1587.20,1578.60,1588.00,1577.10,1.54K,0.65%
Jan 16 2020,1576.90,1580.40,1583.40,1575.00,1.86K,-0.22%
Jan 15 2020,1580.30,1575.90,1582.20,1573.40,2.10K,0.58%
Jan 14 2020,1571.20,1573.20,1573.90,1563.40,1.76K,-0.40%
Jan 13 2020,1577.50,1586.80,1586.80,1574.90,2.70K,-0.60%
